Category,Product Name,Product ID,Product URL,Original Price,Price x 1.45,Price x 1.45 + 10%,Image URL
bedroom > quilts,AD DECOR QUILT SET 04,592472082,https://jhbbedding.company.site/AD-DECOR-QUILT-SET-04-p592472082,450,652,717,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897395945.jpg
bedroom > quilts,AD DECOR QUILT SET 05,592479809,https://jhbbedding.company.site/AD-DECOR-QUILT-SET-05-p592479809,450,652,717,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897396194.jpg
bedroom > quilts,AD DECOR QUILT SET 06,592471211,https://jhbbedding.company.site/AD-DECOR-QUILT-SET-06-p592471211,450,652,717,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897396179.jpg
bedroom > quilts,AD DECOR QUILT SET 08,592471670,https://jhbbedding.company.site/AD-DECOR-QUILT-SET-08-p592471670,450,652,717,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897396189.jpg
bedroom > quilts,BUTTERFLY 3D QUILT SET,592546068,https://jhbbedding.company.site/BUTTERFLY-3D-QUILT-SET-p592546068,220,319,351,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3898005501.jpg
bedroom > quilts,COIL QUILT SET,506540706,https://jhbbedding.company.site/COIL-QUILT-SET-p506540706,300,435,479,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4341013359.jpg
bedroom > quilts,COIL REVERSIBLE QUILT SET,542727281,https://jhbbedding.company.site/COIL-REVERSIBLE-QUILT-SET-p542727281,350,508,559,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3533143963.jpg
bedroom > quilts,DAMSAAR PRINTED QUILT SET,573563857,https://jhbbedding.company.site/DAMSAAR-PRINTED-QUILT-SET-p573563857,650,942,1036,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3747687569.jpg
bedroom > quilts,DOLPHIN 7P QUILT SET- BUTTERFLY BLUE,592471673,https://jhbbedding.company.site/DOLPHIN-7P-QUILT-SET-BUTTERFLY-BLUE-p592471673,330,478,526,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897405677.jpg
bedroom > quilts,DOLPHIN 7P QUILT SET- LEMON,592479824,https://jhbbedding.company.site/DOLPHIN-7P-QUILT-SET-LEMON-p592479824,300,435,479,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897434918.jpg
bedroom > quilts,DOLPHIN 7P QUILT SET- ROSE,592472114,https://jhbbedding.company.site/DOLPHIN-7P-QUILT-SET-ROSE-p592472114,300,435,479,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3897440832.jpg
bedroom > quilts,DREAM QUILT SET-322,629500019,https://jhbbedding.company.site/DREAM-QUILT-SET-322-p629500019,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124953098.jpg
bedroom > quilts,DREAM QUILT SET-323,629484348,https://jhbbedding.company.site/DREAM-QUILT-SET-323-p629484348,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124945920.jpg
bedroom > quilts,DREAM QUILT SET-324,629484349,https://jhbbedding.company.site/DREAM-QUILT-SET-324-p629484349,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124983290.jpg
bedroom > quilts,DREAM QUILT SET-325,629500021,https://jhbbedding.company.site/DREAM-QUILT-SET-325-p629500021,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124945960.jpg
bedroom > quilts,DREAM QUILT SET-326,629484350,https://jhbbedding.company.site/DREAM-QUILT-SET-326-p629484350,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124983305.jpg
bedroom > quilts,DREAM QUILT SET-329,629453495,https://jhbbedding.company.site/DREAM-QUILT-SET-329-p629453495,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124952920.jpg
bedroom > quilts,DREAM QUILT SET-330,629500024,https://jhbbedding.company.site/DREAM-QUILT-SET-330-p629500024,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124965313.jpg
bedroom > quilts,DREAM QUILT SET-331,629495544,https://jhbbedding.company.site/DREAM-QUILT-SET-331-p629495544,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124952930.jpg
bedroom > quilts,DREAM QUILT SET-332,629501528,https://jhbbedding.company.site/DREAM-QUILT-SET-332-p629501528,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124983320.jpg
bedroom > quilts,DREAM QUILT SET-334,629500025,https://jhbbedding.company.site/DREAM-QUILT-SET-334-p629500025,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124983325.jpg
bedroom > quilts,DREAM QUILT SET-335,629495547,https://jhbbedding.company.site/DREAM-QUILT-SET-335-p629495547,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124945975.jpg
bedroom > quilts,DREAM QUILT SET-336,629501530,https://jhbbedding.company.site/DREAM-QUILT-SET-336-p629501530,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124953148.jpg
bedroom > quilts,DREAM QUILT SET-337,629495548,https://jhbbedding.company.site/DREAM-QUILT-SET-337-p629495548,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124945980.jpg
bedroom > quilts,DREAM QUILT SET-338,629506002,https://jhbbedding.company.site/DREAM-QUILT-SET-338-p629506002,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4124952935.jpg
bedroom > quilts,DREAM QUILT SET-339,629506003,https://jhbbedding.company.site/DREAM-QUILT-SET-339-p629506003,200,290,319,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4125020011.jpg
bedroom > quilts,DUTCH VELVET QUILT SET,485435375,https://jhbbedding.company.site/DUTCH-VELVET-QUILT-SET-p485435375,900,1305,1436,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3182480221.jpg
bedroom > quilts,GOLD FOIL QUILT SET,625195520,https://jhbbedding.company.site/GOLD-FOIL-QUILT-SET-p625195520,850,1232,1355,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/4099764209.jpg
bedroom > quilts,LOU QUILT SET,534582077,https://jhbbedding.company.site/LOU-QUILT-SET-p534582077,400,580,638,https://d2j6dbq0eux0bg.cloudfront.net/images/46321008/3488667309.jpg
